,age,job,education,contact,month,duration,campaign,prev_contact,previous,poutcome,emp_var_rate,cons_conf_idx,deposit_approve
0,56,0,0,0,0,261,1,0,0,0,1.1,-36.4,0
1,57,0,1,0,0,149,1,0,0,0,1.1,-36.4,0
2,37,0,1,0,0,226,1,0,0,0,1.1,-36.4,0
3,40,1,0,0,0,151,1,0,0,0,1.1,-36.4,0
4,56,0,1,0,0,307,1,0,0,0,1.1,-36.4,0
5,45,0,0,0,0,198,1,0,0,0,1.1,-36.4,0
6,59,1,1,0,0,139,1,0,0,0,1.1,-36.4,0
7,24,0,1,0,0,380,1,0,0,0,1.1,-36.4,0
8,25,0,1,0,0,50,1,0,0,0,1.1,-36.4,0
9,25,0,1,0,0,222,1,0,0,0,1.1,-36.4,0
10,29,0,1,0,0,137,1,0,0,0,1.1,-36.4,0
11,57,0,0,0,0,293,1,0,0,0,1.1,-36.4,0
12,35,0,0,0,0,146,1,0,0,0,1.1,-36.4,0
13,54,1,0,0,0,174,1,0,0,0,1.1,-36.4,0
14,35,0,0,0,0,312,1,0,0,0,1.1,-36.4,0
15,46,0,0,0,0,440,1,0,0,0,1.1,-36.4,0
16,50,0,0,0,0,353,1,0,0,0,1.1,-36.4,0
17,39,0,0,0,0,195,1,0,0,0,1.1,-36.4,0
18,30,1,1,0,0,38,1,0,0,0,1.1,-36.4,0
19,55,0,0,0,0,262,1,0,0,0,1.1,-36.4,0
20,55,1,1,0,0,342,1,0,0,0,1.1,-36.4,0
21,41,0,1,0,0,181,1,0,0,0,1.1,-36.4,0
22,37,1,1,0,0,172,1,0,0,0,1.1,-36.4,0
23,35,0,1,0,0,99,1,0,0,0,1.1,-36.4,0
24,39,0,0,0,0,233,1,0,0,0,1.1,-36.4,0
25,54,0,1,0,0,255,2,0,0,0,1.1,-36.4,0
26,54,0,0,0,0,230,1,0,0,0,1.1,-36.4,0
27,54,0,0,0,0,208,1,0,0,0,1.1,-36.4,0
28,34,0,1,0,0,365,1,0,0,0,1.1,-36.4,0
29,41,1,1,0,0,577,1,0,0,0,1.1,-36.4,0
30,56,0,0,0,0,137,1,0,0,0,1.1,-36.4,0
31,58,0,1,0,0,366,1,0,0,0,1.1,-36.4,0
32,32,0,1,0,0,314,1,0,0,0,1.1,-36.4,0
33,38,1,1,0,0,160,1,0,0,0,1.1,-36.4,0
34,57,1,1,0,0,212,1,0,0,0,1.1,-36.4,0
35,44,1,1,0,0,188,1,0,0,0,1.1,-36.4,0
36,42,0,1,0,0,22,1,0,0,0,1.1,-36.4,0
37,57,1,1,0,0,616,1,0,0,0,1.1,-36.4,0
38,40,0,0,0,0,178,1,0,0,0,1.1,-36.4,0
39,35,1,1,0,0,355,1,0,0,0,1.1,-36.4,0
40,45,0,0,0,0,225,2,0,0,0,1.1,-36.4,0
41,54,1,1,0,0,160,1,0,0,0,1.1,-36.4,0
42,39,0,0,0,0,266,1,0,0,0,1.1,-36.4,0
43,60,1,1,0,0,253,1,0,0,0,1.1,-36.4,0
44,53,1,1,0,0,179,1,0,0,0,1.1,-36.4,0
45,55,0,0,0,0,269,2,0,0,0,1.1,-36.4,0
46,55,0,1,0,0,135,1,0,0,0,1.1,-36.4,0
47,50,0,1,0,0,161,1,0,0,0,1.1,-36.4,0
48,45,0,1,0,0,787,1,0,0,0,1.1,-36.4,0
49,55,1,1,0,0,145,1,0,0,0,1.1,-36.4,0
50,25,0,1,0,0,174,1,0,0,0,1.1,-36.4,0
51,47,0,1,0,0,449,1,0,0,0,1.1,-36.4,0
52,51,0,0,0,0,812,1,0,0,0,1.1,-36.4,0
53,42,0,0,0,0,164,1,0,0,0,1.1,-36.4,0
54,42,0,0,0,0,366,1,0,0,0,1.1,-36.4,0
55,48,1,1,0,0,357,1,0,0,0,1.1,-36.4,0
56,37,1,1,0,0,232,1,0,0,0,1.1,-36.4,0
57,44,0,0,0,0,91,1,0,0,0,1.1,-36.4,0
58,56,1,0,0,0,158,2,0,0,0,1.1,-36.4,0
59,44,0,0,0,0,177,1,0,0,0,1.1,-36.4,0
60,41,0,0,0,0,200,1,0,0,0,1.1,-36.4,0
61,44,0,1,0,0,172,1,0,0,0,1.1,-36.4,0
62,47,1,1,0,0,176,1,0,0,0,1.1,-36.4,0
63,37,1,1,0,0,214,1,0,0,0,1.1,-36.4,0
64,55,0,1,0,0,349,1,0,0,0,1.1,-36.4,0
65,33,0,1,0,0,337,2,0,0,0,1.1,-36.4,0
