,age,job,education,contact,month,duration,campaign,prev_contact,previous,poutcome,emp_var_rate,cons_conf_idx,deposit_approve
0,56,housemaid,basic.4y,0,may,261,1,0,0,nonexistent,1.1,-36.4,0
1,57,services,high.school,0,may,149,1,0,0,nonexistent,1.1,-36.4,0
2,37,services,high.school,0,may,226,1,0,0,nonexistent,1.1,-36.4,0
3,40,admin.,basic.6y,0,may,151,1,0,0,nonexistent,1.1,-36.4,0
4,56,services,high.school,0,may,307,1,0,0,nonexistent,1.1,-36.4,0
5,45,services,basic.9y,0,may,198,1,0,0,nonexistent,1.1,-36.4,0
6,59,admin.,professional.course,0,may,139,1,0,0,nonexistent,1.1,-36.4,0
7,24,technician,professional.course,0,may,380,1,0,0,nonexistent,1.1,-36.4,0
8,25,services,high.school,0,may,50,1,0,0,nonexistent,1.1,-36.4,0
9,25,services,high.school,0,may,222,1,0,0,nonexistent,1.1,-36.4,0
10,29,blue-collar,high.school,0,may,137,1,0,0,nonexistent,1.1,-36.4,0
11,57,housemaid,basic.4y,0,may,293,1,0,0,nonexistent,1.1,-36.4,0
12,35,blue-collar,basic.6y,0,may,146,1,0,0,nonexistent,1.1,-36.4,0
13,54,retired,basic.9y,0,may,174,1,0,0,nonexistent,1.1,-36.4,0
14,35,blue-collar,basic.6y,0,may,312,1,0,0,nonexistent,1.1,-36.4,0
15,46,blue-collar,basic.6y,0,may,440,1,0,0,nonexistent,1.1,-36.4,0
16,50,blue-collar,basic.9y,0,may,353,1,0,0,nonexistent,1.1,-36.4,0
17,39,management,basic.9y,0,may,195,1,0,0,nonexistent,1.1,-36.4,0
18,30,unemployed,high.school,0,may,38,1,0,0,nonexistent,1.1,-36.4,0
19,55,blue-collar,basic.4y,0,may,262,1,0,0,nonexistent,1.1,-36.4,0
20,55,retired,high.school,0,may,342,1,0,0,nonexistent,1.1,-36.4,0
21,41,technician,high.school,0,may,181,1,0,0,nonexistent,1.1,-36.4,0
22,37,admin.,high.school,0,may,172,1,0,0,nonexistent,1.1,-36.4,0
23,35,technician,university.degree,0,may,99,1,0,0,nonexistent,1.1,-36.4,0
24,39,self-employed,basic.9y,0,may,233,1,0,0,nonexistent,1.1,-36.4,0
25,54,technician,university.degree,0,may,255,2,0,0,nonexistent,1.1,-36.4,0
26,54,management,basic.4y,0,may,230,1,0,0,nonexistent,1.1,-36.4,0
27,54,blue-collar,basic.4y,0,may,208,1,0,0,nonexistent,1.1,-36.4,0
28,34,services,high.school,0,may,365,1,0,0,nonexistent,1.1,-36.4,0
29,41,admin.,university.degree,0,may,577,1,0,0,nonexistent,1.1,-36.4,0
30,56,technician,basic.4y,0,may,137,1,0,0,nonexistent,1.1,-36.4,0
31,58,management,university.degree,0,may,366,1,0,0,nonexistent,1.1,-36.4,0
32,32,entrepreneur,high.school,0,may,314,1,0,0,nonexistent,1.1,-36.4,0
33,38,admin.,professional.course,0,may,160,1,0,0,nonexistent,1.1,-36.4,0
34,57,admin.,university.degree,0,may,212,1,0,0,nonexistent,1.1,-36.4,0
35,44,admin.,university.degree,0,may,188,1,0,0,nonexistent,1.1,-36.4,0
36,42,technician,professional.course,0,may,22,1,0,0,nonexistent,1.1,-36.4,0
37,57,admin.,university.degree,0,may,616,1,0,0,nonexistent,1.1,-36.4,0
38,40,blue-collar,basic.9y,0,may,178,1,0,0,nonexistent,1.1,-36.4,0
39,35,admin.,university.degree,0,may,355,1,0,0,nonexistent,1.1,-36.4,0
40,45,blue-collar,basic.9y,0,may,225,2,0,0,nonexistent,1.1,-36.4,0
41,54,admin.,high.school,0,may,160,1,0,0,nonexistent,1.1,-36.4,0
42,39,housemaid,basic.4y,0,may,266,1,0,0,nonexistent,1.1,-36.4,0
43,60,admin.,high.school,0,may,253,1,0,0,nonexistent,1.1,-36.4,0
44,53,admin.,professional.course,0,may,179,1,0,0,nonexistent,1.1,-36.4,0
45,55,blue-collar,basic.4y,0,may,269,2,0,0,nonexistent,1.1,-36.4,0
46,55,technician,professional.course,0,may,135,1,0,0,nonexistent,1.1,-36.4,0
47,50,management,university.degree,0,may,161,1,0,0,nonexistent,1.1,-36.4,0
48,45,services,high.school,0,may,787,1,0,0,nonexistent,1.1,-36.4,0
49,55,unemployed,professional.course,0,may,145,1,0,0,nonexistent,1.1,-36.4,0
50,25,technician,university.degree,0,may,174,1,0,0,nonexistent,1.1,-36.4,0
51,47,entrepreneur,university.degree,0,may,449,1,0,0,nonexistent,1.1,-36.4,0
52,51,blue-collar,basic.9y,0,may,812,1,0,0,nonexistent,1.1,-36.4,0
53,42,blue-collar,basic.6y,0,may,164,1,0,0,nonexistent,1.1,-36.4,0
54,42,blue-collar,basic.6y,0,may,366,1,0,0,nonexistent,1.1,-36.4,0
55,48,admin.,high.school,0,may,357,1,0,0,nonexistent,1.1,-36.4,0
56,37,admin.,university.degree,0,may,232,1,0,0,nonexistent,1.1,-36.4,0
57,44,blue-collar,basic.9y,0,may,91,1,0,0,nonexistent,1.1,-36.4,0
58,56,admin.,basic.9y,0,may,158,2,0,0,nonexistent,1.1,-36.4,0
59,44,blue-collar,basic.4y,0,may,177,1,0,0,nonexistent,1.1,-36.4,0
60,41,management,basic.6y,0,may,200,1,0,0,nonexistent,1.1,-36.4,0
61,44,management,university.degree,0,may,172,1,0,0,nonexistent,1.1,-36.4,0
62,47,admin.,university.degree,0,may,176,1,0,0,nonexistent,1.1,-36.4,0
63,37,admin.,university.degree,0,may,214,1,0,0,nonexistent,1.1,-36.4,0
64,55,technician,university.degree,0,may,349,1,0,0,nonexistent,1.1,-36.4,0
65,33,services,high.school,0,may,337,2,0,0,nonexistent,1.1,-36.4,0
66,42,blue-collar,basic.9y,0,may,208,1,0,0,nonexistent,1.1,-36.4,0
67,50,blue-collar,basic.4y,0,may,193,1,0,0,nonexistent,1.1,-36.4,0
68,51,blue-collar,basic.4y,0,may,212,1,0,0,nonexistent,1.1,-36.4,0
69,38,admin.,high.school,0,may,165,2,0,0,nonexistent,1.1,-36.4,0
70,38,technician,university.degree,0,may,20,1,0,0,nonexistent,1.1,-36.4,0
71,31,admin.,high.school,0,may,246,1,0,0,nonexistent,1.1,-36.4,0
72,41,management,basic.6y,0,may,529,2,0,0,nonexistent,1.1,-36.4,0
73,39,admin.,university.degree,0,may,192,1,0,0,nonexistent,1.1,-36.4,0
74,34,admin.,high.school,0,may,188,2,0,0,nonexistent,1.1,-36.4,0
75,35,admin.,university.degree,0,may,180,2,0,0,nonexistent,1.1,-36.4,0
76,33,unemployed,basic.9y,0,may,545,1,0,0,nonexistent,1.1,-36.4,0
77,42,blue-collar,basic.6y,0,may,583,1,0,0,nonexistent,1.1,-36.4,0
78,45,services,professional.course,0,may,221,1,0,0,nonexistent,1.1,-36.4,0
79,42,management,university.degree,0,may,426,1,0,0,nonexistent,1.1,-36.4,0
80,53,admin.,university.degree,0,may,287,1,0,0,nonexistent,1.1,-36.4,0
81,37,technician,professional.course,0,may,197,1,0,0,nonexistent,1.1,-36.4,0
82,44,blue-collar,basic.6y,0,may,257,1,0,0,nonexistent,1.1,-36.4,0
83,49,blue-collar,basic.4y,0,may,55,3,0,0,nonexistent,1.1,-36.4,0
84,52,admin.,university.degree,0,may,197,1,0,0,nonexistent,1.1,-36.4,0
85,52,admin.,university.degree,0,may,190,1,0,0,nonexistent,1.1,-36.4,0
86,43,services,high.school,0,may,21,1,0,0,nonexistent,1.1,-36.4,0
87,34,housemaid,basic.6y,0,may,300,2,0,0,nonexistent,1.1,-36.4,0
88,35,admin.,high.school,0,may,123,2,0,0,nonexistent,1.1,-36.4,0
89,60,retired,university.degree,0,may,514,1,0,0,nonexistent,1.1,-36.4,0
90,58,unemployed,basic.4y,0,may,849,2,0,0,nonexistent,1.1,-36.4,0
91,35,services,high.school,0,may,194,1,0,0,nonexistent,1.1,-36.4,0
92,55,blue-collar,basic.9y,0,may,212,2,0,0,nonexistent,1.1,-36.4,0
93,37,management,university.degree,0,may,337,2,0,0,nonexistent,1.1,-36.4,0
94,36,blue-collar,high.school,0,may,286,1,0,0,nonexistent,1.1,-36.4,0
95,52,admin.,university.degree,0,may,247,2,0,0,nonexistent,1.1,-36.4,0
96,48,blue-collar,basic.4y,0,may,178,1,0,0,nonexistent,1.1,-36.4,0
97,40,blue-collar,high.school,0,may,98,1,0,0,nonexistent,1.1,-36.4,0
98,49,blue-collar,high.school,0,may,439,1,0,0,nonexistent,1.1,-36.4,0
99,41,services,high.school,0,may,139,1,0,0,nonexistent,1.1,-36.4,0
100,45,technician,high.school,0,may,79,1,0,0,nonexistent,1.1,-36.4,0
101,32,admin.,university.degree,0,may,175,1,0,0,nonexistent,1.1,-36.4,0
102,42,admin.,university.degree,0,may,262,2,0,0,nonexistent,1.1,-36.4,0
103,50,admin.,basic.6y,0,may,61,1,0,0,nonexistent,1.1,-36.4,0
104,31,technician,professional.course,0,may,78,1,0,0,nonexistent,1.1,-36.4,0
105,56,retired,basic.4y,0,may,102,2,0,0,nonexistent,1.1,-36.4,0
106,41,technician,professional.course,0,may,579,1,0,0,nonexistent,1.1,-36.4,1
107,37,blue-collar,basic.6y,0,may,143,1,0,0,nonexistent,1.1,-36.4,0
108,41,technician,professional.course,0,may,677,1,0,0,nonexistent,1.1,-36.4,0
109,37,blue-collar,basic.6y,0,may,345,1,0,0,nonexistent,1.1,-36.4,0
110,52,management,university.degree,0,may,185,1,0,0,nonexistent,1.1,-36.4,0
111,39,management,university.degree,0,may,207,1,0,0,nonexistent,1.1,-36.4,0
112,39,housemaid,basic.4y,0,may,69,2,0,0,nonexistent,1.1,-36.4,0
113,56,blue-collar,basic.4y,0,may,100,2,0,0,nonexistent,1.1,-36.4,0
114,34,services,high.school,0,may,125,2,0,0,nonexistent,1.1,-36.4,0
115,45,blue-collar,basic.9y,0,may,461,1,0,0,nonexistent,1.1,-36.4,1
116,43,unemployed,university.degree,0,may,240,1,0,0,nonexistent,1.1,-36.4,0
