,age,job,marital,education,contact,month,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,deposit_approve
129,41,technician,married,professional.course,telephone,may,579,1,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
139,45,blue-collar,married,basic.9y,telephone,may,461,1,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
182,42,blue-collar,married,basic.9y,telephone,may,673,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
286,39,housemaid,married,basic.9y,telephone,may,935,3,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
389,44,services,married,high.school,telephone,may,1030,1,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
504,39,services,married,high.school,telephone,may,918,1,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
820,31,admin.,single,university.degree,telephone,may,992,1,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
832,28,student,single,basic.9y,telephone,may,732,2,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
870,37,blue-collar,single,basic.9y,telephone,may,591,1,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
876,44,blue-collar,married,basic.4y,telephone,may,786,1,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
1166,42,services,married,professional.course,telephone,may,813,1,no,0,nonexistent,1.1,93.994,-36.4,4.855,yes
1189,46,blue-collar,single,basic.9y,telephone,may,541,3,no,0,nonexistent,1.1,93.994,-36.4,4.855,yes
1319,54,admin.,married,university.degree,telephone,may,513,1,no,0,nonexistent,1.1,93.994,-36.4,4.855,yes
1348,50,technician,married,high.school,telephone,may,756,1,no,0,nonexistent,1.1,93.994,-36.4,4.855,yes
1501,41,services,divorced,high.school,telephone,may,985,2,no,0,nonexistent,1.1,93.994,-36.4,4.855,yes
1608,32,unknown,unknown,university.degree,telephone,may,617,4,no,0,nonexistent,1.1,93.994,-36.4,4.855,yes
1613,33,services,married,high.school,telephone,may,483,3,no,0,nonexistent,1.1,93.994,-36.4,4.855,yes
1632,38,management,married,basic.9y,telephone,may,772,1,no,0,nonexistent,1.1,93.994,-36.4,4.855,yes
1636,60,housemaid,married,high.school,telephone,may,929,3,no,0,nonexistent,1.1,93.994,-36.4,4.855,yes
1655,35,blue-collar,married,professional.course,telephone,may,710,1,no,0,nonexistent,1.1,93.994,-36.4,4.855,yes
1725,51,blue-collar,married,basic.9y,telephone,may,653,1,no,0,nonexistent,1.1,93.994,-36.4,4.855,yes
1763,24,services,single,high.school,telephone,may,654,1,no,0,nonexistent,1.1,93.994,-36.4,4.855,yes
1819,44,blue-collar,single,basic.6y,telephone,may,665,2,no,0,nonexistent,1.1,93.994,-36.4,4.855,yes
2002,59,management,married,university.degree,telephone,may,460,5,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
2039,24,services,single,high.school,telephone,may,757,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
2064,39,admin.,married,university.degree,telephone,may,744,6,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
2257,39,blue-collar,married,basic.9y,telephone,may,504,4,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
2305,33,management,married,basic.4y,telephone,may,568,4,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
2315,38,management,married,basic.9y,telephone,may,1000,1,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
2316,35,admin.,single,high.school,telephone,may,618,1,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
2406,38,blue-collar,single,university.degree,telephone,may,395,2,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
2417,38,technician,single,university.degree,telephone,may,1015,1,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
2421,30,technician,married,university.degree,telephone,may,683,2,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
2424,51,admin.,single,basic.6y,telephone,may,470,1,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
2444,31,services,married,basic.6y,telephone,may,1001,4,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
2449,45,technician,married,university.degree,telephone,may,845,1,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
2473,36,admin.,married,high.school,telephone,may,753,6,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
2635,31,services,married,basic.9y,telephone,may,945,2,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
2684,51,admin.,married,basic.4y,telephone,may,942,3,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
2697,38,blue-collar,married,basic.6y,telephone,may,476,1,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
2713,41,technician,married,high.school,telephone,may,832,1,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
2775,33,blue-collar,married,high.school,telephone,may,858,1,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
2779,35,student,married,university.degree,telephone,may,629,2,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
2853,40,blue-collar,married,high.school,telephone,may,1028,2,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
2905,40,blue-collar,married,basic.6y,telephone,may,927,1,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
3090,35,housemaid,married,basic.4y,telephone,may,646,3,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
3113,32,services,married,basic.9y,telephone,may,746,1,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
3183,45,admin.,married,high.school,telephone,may,695,1,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
3223,45,self-employed,married,basic.6y,telephone,may,734,1,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
3259,49,blue-collar,divorced,basic.4y,telephone,may,920,2,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
3264,41,blue-collar,married,basic.9y,telephone,may,500,1,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
3338,30,admin.,married,university.degree,telephone,may,911,2,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
3381,53,technician,married,professional.course,telephone,may,920,2,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
3453,50,blue-collar,married,basic.9y,telephone,may,697,3,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
3506,30,admin.,single,high.school,telephone,may,892,4,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
3541,45,entrepreneur,married,university.degree,telephone,may,515,1,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
3545,35,admin.,single,high.school,telephone,may,813,1,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
3564,29,blue-collar,single,high.school,telephone,may,803,1,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
3566,44,management,single,university.degree,telephone,may,844,1,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
3570,31,blue-collar,married,basic.6y,telephone,may,676,1,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
3608,26,blue-collar,single,basic.9y,telephone,may,688,1,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
3628,40,entrepreneur,married,university.degree,telephone,may,803,1,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
3661,49,admin.,divorced,high.school,telephone,may,787,1,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
3677,26,admin.,single,high.school,telephone,may,619,2,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
3693,37,admin.,single,high.school,telephone,may,912,1,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
3697,38,blue-collar,single,university.degree,telephone,may,894,1,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
3740,46,admin.,divorced,university.degree,telephone,may,897,1,no,0,nonexistent,1.1,93.994,-36.4,4.859,yes
3939,47,management,married,basic.4y,telephone,may,882,1,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
3979,57,technician,married,professional.course,telephone,may,483,2,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
3988,45,blue-collar,married,unknown,telephone,may,943,2,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4034,48,blue-collar,married,basic.9y,telephone,may,607,1,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4050,28,services,married,high.school,telephone,may,1022,4,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4110,38,services,married,high.school,telephone,may,552,3,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4164,52,services,married,high.school,telephone,may,967,6,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4167,52,services,divorced,high.school,telephone,may,579,5,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4294,53,blue-collar,married,basic.4y,telephone,may,182,2,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
4485,39,blue-collar,single,basic.9y,telephone,may,650,3,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
